Metric,Value
route__wirelength__iter:6,762086
route__drc_errors__iter:7,14
route__wirelength__iter:7,762110
route__drc_errors__iter:8,7
route__wirelength__iter:8,762106
route__drc_errors__iter:9,1
route__wirelength__iter:9,762123
route__drc_errors__iter:10,0
route__wirelength__iter:10,762126
route__drc_errors,0
route__wirelength,762126
route__vias,152912
route__vias__singlecut,152912
route__vias__multicut,0
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,1197.75
timing__unannotated_net__count__corner:nom_tt_025C_1v80,218
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,218
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,218
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,178
design__max_fanout_violation__count__corner:min_tt_025C_1v80,246
design__max_cap_violation__count__corner:min_tt_025C_1v80,2
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.34637912962731254
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.34781153941419524
timing__hold__ws__corner:min_tt_025C_1v80,0.31848891092558296
timing__setup__ws__corner:min_tt_025C_1v80,7.961953988137711
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.318489
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,11.973911
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,218
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,2716
design__max_fanout_violation__count__corner:min_ss_100C_1v60,246
design__max_cap_violation__count__corner:min_ss_100C_1v60,4
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.40699153532635396
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.4076341324311809
timing__hold__ws__corner:min_ss_100C_1v60,0.8539473814223489
timing__setup__ws__corner:min_ss_100C_1v60,2.641877902331235
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.853947
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,2.641878
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,218
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,5
