Metric,Value
route__drc_errors__iter:6,5
route__wirelength__iter:6,1624355
route__drc_errors__iter:7,0
route__wirelength__iter:7,1624347
route__drc_errors,0
route__wirelength,1624347
route__vias,452227
route__vias__singlecut,452227
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,1266.95
timing__unannotated_net__count__corner:nom_tt_025C_1v80,444
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,444
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,444
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,129
design__max_fanout_violation__count__corner:min_tt_025C_1v80,515
design__max_cap_violation__count__corner:min_tt_025C_1v80,6
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.43823598768052086
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.44255764194840147
timing__hold__ws__corner:min_tt_025C_1v80,0.16597457211725866
timing__setup__ws__corner:min_tt_025C_1v80,22.584549980521135
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.165975
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,22.584551
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,444
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,5567
design__max_fanout_violation__count__corner:min_ss_100C_1v60,515
design__max_cap_violation__count__corner:min_ss_100C_1v60,7
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.5585092546528616
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.5693345955829332
timing__hold__ws__corner:min_ss_100C_1v60,0.5911440393400879
timing__setup__ws__corner:min_ss_100C_1v60,4.848470206997758
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.591144
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,4.848470
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,444
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,7
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,515
design__max_cap_violation__count__corner:min_ff_n40C_1v95,6
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.3821270907859369
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.38535983828046877
timing__hold__ws__corner:min_ff_n40C_1v95,0.01928346426008796
timing__setup__ws__corner:min_ff_n40C_1v95,28.49749317185065
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.019283
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,29.302364
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,444
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,560
design__max_fanout_violation__count__corner:max_tt_025C_1v80,515
design__max_cap_violation__count__corner:max_tt_025C_1v80,35
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.48153571382179966
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.4932611125833902
timing__hold__ws__corner:max_tt_025C_1v80,0.17010127121650137
timing__setup__ws__corner:max_tt_025C_1v80,22.013381962583484
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.170101
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,22.013382
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,444
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,11541
design__max_fanout_violation__count__corner:max_ss_100C_1v60,515
design__max_cap_violation__count__corner:max_ss_100C_1v60,42
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.6257270434460258
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.64585938425475
timing__hold__ws__corner:max_ss_100C_1v60,0.6120268909346845
timing__setup__ws__corner:max_ss_100C_1v60,3.6540655979733545
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.612027
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,3.654066
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,444
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,78
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,515
design__max_cap_violation__count__corner:max_ff_n40C_1v95,35
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.4117002133515647
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.4197846356009232
timing__hold__ws__corner:max_ff_n40C_1v95,0.019587665377438647
timing__setup__ws__corner:max_ff_n40C_1v95,28.130027103875467
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.019588
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,28.922163
